,age,job,marital,education,balance,contact,day,month,duration,campaign,previous,poutcome,housing_new,loan_new,y
78,49,7,0,1,0,2,5,8,272,1,0,3,1,1,0
79,55,7,0,1,1,2,5,8,208,1,0,3,1,0,0
80,45,0,2,1,206,2,5,8,193,1,0,3,1,0,0
81,47,7,0,1,164,2,5,8,212,1,0,3,0,0,0
82,42,9,2,1,690,2,5,8,20,1,0,3,1,0,0
83,59,0,1,1,2343,2,5,8,1042,1,0,3,1,0,1
84,46,6,1,2,137,2,5,8,246,1,0,3,1,1,0
85,51,1,1,0,173,2,5,8,529,2,0,3,1,0,0
86,56,0,1,1,45,2,5,8,1467,1,0,3,0,0,1
87,41,9,1,1,1270,2,5,8,1389,1,0,3,1,0,1
88,46,4,0,1,16,2,5,8,188,2,0,3,1,1,0
89,57,5,1,1,486,2,5,8,180,2,0,3,1,0,0
90,42,4,2,1,50,2,5,8,48,1,0,3,0,0,0
91,30,9,1,1,152,2,5,8,213,2,0,3,1,1,0
92,60,0,1,1,290,2,5,8,583,1,0,3,1,0,0
93,60,1,1,3,54,2,5,8,221,1,0,3,1,0,0
94,57,2,0,1,-37,2,5,8,173,1,0,3,0,0,0
95,36,4,1,2,101,2,5,8,426,1,0,3,1,1,0
96,55,1,1,1,383,2,5,8,287,1,0,3,0,0,0
97,60,5,1,2,81,2,5,8,101,1,0,3,1,0,0
98,39,9,1,1,0,2,5,8,203,1,0,3,1,0,0
99,46,4,1,2,229,2,5,8,197,1,0,3,1,0,0
100,44,1,1,1,-674,2,5,8,257,1,0,3,1,0,0
101,53,1,1,0,90,2,5,8,124,1,0,3,0,0,0
102,52,1,1,0,128,2,5,8,229,1,0,3,1,0,0
103,59,1,1,0,179,2,5,8,55,3,0,3,1,0,0
104,27,9,2,2,0,2,5,8,400,1,0,3,1,0,0
105,44,1,1,1,54,2,5,8,197,1,0,3,1,0,0
106,47,9,1,2,151,2,5,8,190,1,0,3,1,0,0
107,34,0,1,1,61,2,5,8,21,1,0,3,0,1,0
108,59,5,2,1,30,2,5,8,514,1,0,3,1,0,0
109,45,4,1,2,523,2,5,8,849,2,0,3,1,0,0
110,29,7,0,1,31,2,5,8,194,1,0,3,1,0,0
111,46,9,0,1,79,2,5,8,144,1,0,3,0,0,0
112,56,6,1,0,-34,2,5,8,212,2,0,3,1,1,0
113,36,1,1,0,448,2,5,8,286,1,0,3,1,0,0
114,59,5,0,0,81,2,5,8,107,1,0,3,1,0,0
115,44,1,1,1,144,2,5,8,247,2,0,3,1,0,0
116,41,0,1,1,351,2,5,8,518,1,0,3,1,0,0
117,33,4,2,2,-67,2,5,8,364,1,0,3,1,0,0
118,59,4,0,2,262,2,5,8,178,1,0,3,0,0,0
119,57,9,1,0,0,2,5,8,98,1,0,3,0,0,0
120,56,9,0,3,56,2,5,8,439,1,0,3,1,0,0
121,51,1,1,1,26,2,5,8,79,1,0,3,1,0,0
122,34,0,1,3,3,2,5,8,120,3,0,3,1,0,0
123,43,7,1,1,41,2,5,8,127,2,0,3,1,1,0
124,52,9,1,2,7,2,5,8,175,1,0,3,0,1,0
125,33,9,2,1,105,2,5,8,262,2,0,3,1,0,0
126,29,0,2,1,818,2,5,8,61,1,0,3,1,1,0
127,34,7,1,1,-16,2,5,8,78,1,0,3,1,1,0
128,31,1,1,1,0,2,5,8,143,1,0,3,1,0,0
129,55,7,1,1,2476,2,5,8,579,1,0,3,1,0,1
130,55,4,1,3,1185,2,5,8,677,1,0,3,0,0,0
131,32,0,2,1,217,2,5,8,345,1,0,3,1,0,0
132,38,9,2,1,1685,2,5,8,185,1,0,3,1,0,0
133,55,0,2,1,802,2,5,8,100,2,0,3,1,1,0
134,28,10,2,2,0,2,5,8,125,2,0,3,1,0,0
135,23,1,1,1,94,2,5,8,193,1,0,3,1,0,0
136,32,9,2,1,0,2,5,8,136,1,0,3,1,0,0
137,43,7,2,3,0,2,5,8,73,1,0,3,0,0,0
138,32,1,1,1,517,2,5,8,528,1,0,3,1,0,0
139,46,1,1,1,265,2,5,8,541,1,0,3,1,0,0
140,53,3,0,0,947,2,5,8,163,1,0,3,1,0,0
141,34,6,2,1,3,2,5,8,301,1,0,3,1,0,0
142,57,10,1,2,42,2,5,8,46,1,0,3,0,0,0
143,37,1,1,1,37,2,5,8,204,1,0,3,1,0,0
144,59,1,1,1,57,2,5,8,98,1,0,3,1,0,0
145,33,7,1,1,22,2,5,8,71,1,0,3,1,0,0
146,56,1,0,0,8,2,5,8,157,2,0,3,1,0,0
147,48,10,1,1,293,2,5,8,243,1,0,3,1,0,0
148,43,7,1,0,3,2,5,8,186,2,0,3,1,0,0
149,54,1,1,0,348,2,5,8,579,2,0,3,1,0,0
150,51,1,1,3,-19,2,5,8,163,2,0,3,1,0,0
151,26,8,2,1,0,2,5,8,610,2,0,3,1,0,0
152,40,4,1,2,-4,2,5,8,2033,1,0,3,1,0,0
153,39,4,1,1,18,2,5,8,85,1,0,3,1,0,0
154,50,9,1,0,139,2,5,8,114,2,0,3,0,0,0
155,41,7,1,1,0,2,5,8,114,2,0,3,1,0,0
156,51,1,1,3,1883,2,5,8,57,1,0,3,1,0,0
157,60,5,0,1,216,2,5,8,238,1,0,3,1,0,0
158,52,1,1,1,782,2,5,8,93,3,0,3,1,0,0
159,48,1,1,1,904,2,5,8,128,2,0,3,1,0,0
160,48,7,1,3,1705,2,5,8,107,1,0,3,1,0,0
161,39,9,2,2,47,2,5,8,181,1,0,3,1,0,0
162,47,7,2,1,176,2,5,8,303,2,0,3,1,0,0
163,40,1,1,1,1225,2,5,8,558,5,0,3,1,0,0
164,45,9,1,1,86,2,5,8,270,1,0,3,1,0,0
165,26,0,2,1,82,2,5,8,228,1,0,3,1,0,0
166,52,4,1,2,271,2,5,8,99,1,0,3,1,0,0
167,54,9,1,1,1378,2,5,8,240,1,0,3,1,0,0
168,54,0,1,2,184,2,5,8,673,2,0,3,0,0,1
169,50,1,1,0,0,2,5,8,233,3,0,3,0,0,0
170,35,1,1,1,0,2,5,8,1056,1,0,3,1,0,0
171,44,7,1,1,1357,2,5,8,250,1,0,3,1,1,0
172,53,2,1,3,19,2,5,8,252,1,0,3,1,0,0
173,35,5,2,0,434,2,5,8,138,1,0,3,0,0,0
174,60,0,0,1,92,2,5,8,130,1,0,3,1,0,0
175,53,0,0,1,1151,2,5,8,412,1,0,3,1,0,0
176,48,10,1,1,41,2,5,8,179,2,0,3,1,0,0
177,34,9,1,1,51,2,5,8,19,2,0,3,1,0,0
178,54,7,1,1,214,2,5,8,458,2,0,3,1,0,0
179,51,4,1,1,1161,2,5,8,717,1,0,3,1,0,0
180,31,7,1,2,37,2,5,8,313,1,0,3,1,0,0
181,35,9,0,1,787,2,5,8,683,2,0,3,1,0,0
182,35,7,1,1,59,2,5,8,1077,1,0,3,1,0,0
183,38,9,1,1,253,2,5,8,416,1,0,3,1,0,0
184,36,0,1,2,211,2,5,8,146,2,0,3,1,0,0
185,58,5,1,0,235,2,5,8,167,1,0,3,1,0,0
186,40,7,0,3,4384,2,5,8,315,1,0,3,1,0,0
187,54,4,1,1,4080,2,5,8,140,1,0,3,0,0,0
188,34,1,2,1,53,2,5,8,346,1,0,3,1,1,0
189,31,4,2,2,0,2,5,8,562,1,0,3,1,0,0
190,51,5,1,1,2127,2,5,8,172,1,0,3,1,0,0
191,33,4,1,2,377,2,5,8,217,1,0,3,1,0,0
192,55,4,1,2,73,2,5,8,142,2,0,3,1,0,0
193,42,0,1,1,445,2,5,8,67,1,0,3,1,0,0
194,34,1,1,1,243,2,5,8,291,1,0,3,1,0,0
195,33,1,2,1,307,2,5,8,309,2,0,3,1,0,0
196,38,7,1,1,155,2,5,8,248,1,0,3,1,0,0
197,50,9,0,2,173,2,5,8,98,1,0,3,0,1,0
198,43,4,1,2,400,2,5,8,256,1,0,3,1,0,0
199,61,1,0,0,1428,2,5,8,82,2,0,3,1,0,0
200,47,0,1,1,219,2,5,8,577,1,0,3,1,0,0
201,48,6,1,2,7,2,5,8,286,1,0,3,1,0,0
202,44,1,1,1,575,2,5,8,477,1,0,3,1,0,0
203,35,8,2,3,298,2,5,8,611,2,0,3,1,0,0
204,35,7,1,1,0,2,5,8,471,1,0,3,1,0,0
205,50,7,1,1,5699,2,5,8,381,2,0,3,1,0,0
206,41,4,1,2,176,2,5,8,42,1,0,3,1,1,0
207,41,4,1,2,517,2,5,8,251,1,0,3,1,0,0
208,39,7,2,3,257,2,5,8,408,1,0,3,1,0,0
209,42,5,1,1,56,2,5,8,215,1,0,3,1,0,0
210,38,1,1,1,-390,2,5,8,287,1,0,3,1,0,0
211,53,5,1,1,330,2,5,8,216,2,0,3,1,0,0
212,59,3,0,0,195,2,5,8,366,2,0,3,0,0,0
213,36,7,1,1,301,2,5,8,210,1,0,3,1,0,0
214,54,1,1,0,-41,2,5,8,288,1,0,3,1,0,0
215,40,9,1,2,483,2,5,8,168,1,0,3,1,0,0
216,47,11,1,3,28,2,5,8,338,2,0,3,0,0,0
217,53,10,1,3,13,2,5,8,410,3,0,3,0,0,0
218,46,3,1,0,965,2,5,8,177,1,0,3,0,0,0
219,39,4,1,2,378,2,5,8,127,2,0,3,1,1,0
220,40,10,1,1,219,2,5,8,357,1,0,3,1,0,0
221,28,1,1,0,324,2,5,8,175,1,0,3,1,0,0
222,35,2,0,1,-69,2,5,8,300,1,0,3,1,0,0
223,55,5,1,1,0,2,5,8,136,1,0,3,0,1,0
224,43,9,0,3,205,2,5,8,1419,1,0,3,1,0,0
225,48,1,1,0,278,2,5,8,125,2,0,3,1,0,0
226,58,4,1,3,1065,2,5,8,213,3,0,3,1,0,0
227,33,4,2,2,34,2,5,8,27,1,0,3,1,0,0
228,36,1,1,3,1033,2,5,8,238,2,0,3,0,0,0
229,53,7,0,1,1467,2,5,8,124,1,0,3,1,0,0
230,47,1,1,0,-12,2,5,8,18,1,0,3,1,0,0
231,31,7,1,1,388,2,5,8,730,2,0,3,1,0,0
232,57,2,1,1,294,2,5,8,746,2,0,3,1,0,0
233,53,1,1,3,1827,2,5,8,121,1,0,3,0,0,0
234,55,1,1,0,627,2,5,8,247,1,0,3,1,0,0
235,45,1,1,0,25,2,5,8,40,1,0,3,1,0,0
236,53,0,0,1,315,2,5,8,181,2,0,3,1,0,0
237,37,1,1,0,0,2,5,8,79,1,0,3,1,0,0
238,44,0,0,1,66,2,5,8,206,1,0,3,1,0,0
239,49,1,0,0,-9,2,5,8,389,1,0,3,1,1,0
240,46,9,1,1,349,2,5,8,127,1,0,3,1,1,0
241,43,2,1,3,100,2,5,8,702,1,0,3,1,0,0
242,38,0,1,1,0,2,5,8,151,1,0,3,0,0,0
243,43,9,1,1,434,2,5,8,117,1,0,3,1,0,0
244,49,4,1,2,3237,2,5,8,232,3,0,3,1,0,0
245,42,4,1,3,275,2,5,8,408,2,0,3,0,0,0
246,22,1,2,1,0,2,5,8,179,2,0,3,1,0,0
247,40,4,1,2,207,2,5,8,39,1,0,3,1,0,0
248,39,1,1,1,483,2,5,8,282,1,0,3,1,0,0
249,51,7,1,1,2248,2,5,8,714,2,0,3,1,0,0
250,49,0,1,1,428,2,5,8,50,1,0,3,1,0,0
251,53,1,1,1,0,2,5,8,181,1,0,3,1,1,0
252,34,7,2,1,0,2,5,8,142,1,0,3,1,0,0
253,33,9,0,1,140,2,5,8,227,1,0,3,1,0,0
254,50,4,2,2,297,2,5,8,119,1,0,3,1,0,0
255,39,1,1,0,279,2,5,8,361,1,0,3,1,0,0
256,59,2,0,1,901,2,5,8,73,3,0,3,1,0,0
257,30,9,2,1,2573,2,5,8,67,2,0,3,1,0,0
258,36,7,1,1,143,2,5,8,350,1,0,3,1,1,0
259,40,1,1,1,475,2,5,8,332,2,0,3,1,0,0
260,53,1,1,1,70,2,5,8,611,2,0,3,1,0,0
261,34,4,2,2,318,2,5,8,113,2,0,3,1,0,0
262,37,9,1,1,275,2,5,8,132,1,0,3,1,0,0
263,42,4,0,2,742,2,5,8,58,3,0,3,1,0,0
264,41,2,1,0,236,2,5,8,151,1,0,3,1,0,0
265,30,8,2,2,25,2,5,8,89,2,0,3,1,0,0
266,37,4,2,2,600,2,5,8,152,1,0,3,1,0,0
267,39,0,0,1,-349,2,5,8,611,2,0,3,1,0,0
268,41,1,1,0,183,2,5,8,110,2,0,3,1,1,0
269,40,1,1,0,0,2,5,8,463,1,0,3,1,0,0
270,42,4,2,2,0,2,5,8,562,2,0,3,1,1,1
271,40,1,0,0,0,2,5,8,962,1,0,3,1,0,0
272,57,9,1,1,1078,2,5,8,10,4,0,3,1,0,0
273,56,2,0,1,155,2,5,8,118,3,0,3,0,0,0
274,37,0,1,1,190,2,5,8,92,2,0,3,1,0,0
275,59,5,1,1,319,2,5,8,143,3,0,3,1,0,0
276,39,7,0,1,-185,2,5,8,189,3,0,3,1,0,0
277,49,7,1,1,47,2,5,8,234,2,0,3,0,0,0
278,38,7,2,1,570,2,5,8,75,2,0,3,1,0,0
279,36,6,1,2,19,2,5,8,189,2,0,3,0,0,0
280,50,1,1,0,61,2,5,8,621,3,0,3,1,0,0
281,41,0,1,1,-62,2,5,8,55,2,0,3,1,1,0
282,54,9,1,2,258,2,5,8,310,4,0,3,0,0,0
283,58,1,1,0,76,2,5,8,156,2,0,3,1,0,0
284,30,1,2,1,0,2,5,8,5,2,0,3,1,0,0
285,33,0,2,1,352,2,5,8,225,2,0,3,1,0,0
286,47,0,1,1,368,2,5,8,125,2,0,3,1,0,0
287,50,9,2,2,339,2,5,8,2,3,0,3,1,0,0
288,32,1,1,1,1331,2,5,8,286,2,0,3,1,0,0
289,40,6,1,1,672,2,5,8,164,2,0,3,1,0,0
290,37,4,1,2,58,2,5,8,98,2,0,3,1,0,0
291,54,9,2,3,447,2,5,8,742,2,0,3,1,0,0
292,24,8,2,1,423,2,5,8,226,3,0,3,1,0,0
293,54,4,1,2,0,2,5,8,120,2,0,3,0,0,0
294,34,9,1,1,19,2,5,8,362,4,0,3,1,0,0
295,56,9,0,0,13,2,5,8,357,2,0,3,1,0,0
296,31,1,2,1,3,2,5,8,200,2,0,3,1,0,0
297,24,8,2,1,82,2,5,8,204,2,0,3,1,0,0
298,42,1,0,0,28,2,5,8,126,3,0,3,1,0,0
299,57,9,1,1,792,2,5,8,65,2,0,3,1,0,0
300,42,1,1,3,408,2,5,8,107,2,0,3,1,0,0
301,51,0,1,1,531,2,5,8,267,2,0,3,1,0,0
302,57,5,1,1,211,2,5,8,248,2,0,3,1,0,0
303,36,7,2,1,62,2,5,8,215,2,0,3,1,0,0
304,53,7,1,3,257,2,5,8,209,2,0,3,1,0,0
305,50,9,1,1,1234,2,5,8,205,2,0,3,1,0,0
306,54,4,1,2,313,2,5,8,83,2,0,3,1,0,0
307,55,1,1,1,89,2,5,8,106,3,0,3,1,0,0
308,44,1,1,1,129,2,5,8,189,2,0,3,1,1,0
309,43,4,1,3,0,2,5,8,105,2,0,3,1,0,0
310,56,0,1,1,353,2,5,8,106,2,0,3,1,0,0
311,54,9,1,3,851,2,5,8,108,2,0,3,1,0,0
312,55,7,0,0,96,2,5,8,311,2,0,3,1,1,0
313,37,7,0,1,398,2,5,8,214,2,0,3,1,1,0
314,33,0,2,2,193,2,5,8,132,2,0,3,0,0,0
315,46,0,1,1,-358,2,5,8,358,2,0,3,1,0,0
316,36,1,1,1,539,2,5,8,453,2,0,3,1,1,0
317,51,9,2,1,0,2,5,8,364,2,0,3,1,0,0
318,40,5,2,0,0,2,5,8,136,2,0,3,0,0,0
319,42,1,1,1,490,2,5,8,386,2,0,3,1,0,0
320,51,1,1,1,0,2,5,8,173,2,0,3,1,0,0
321,49,1,1,3,403,2,5,8,241,2,0,3,1,0,0
322,48,4,1,1,161,2,5,8,224,3,0,3,1,0,0
323,32,9,0,2,2558,2,5,8,148,2,0,3,0,0,0
324,31,0,2,1,98,2,5,8,196,2,0,3,1,0,0
325,55,4,2,2,115,2,5,8,111,4,0,3,0,0,0
326,40,1,2,1,436,2,5,8,231,3,0,3,1,0,0
327,47,9,1,2,831,2,5,8,316,3,0,3,1,0,0
328,57,9,1,3,206,2,5,8,216,3,0,3,1,0,0
329,41,1,1,1,290,2,5,8,240,2,0,3,1,0,0
330,48,1,1,1,1,2,5,8,669,3,0,3,0,0,0
331,42,1,1,3,57,2,5,8,425,2,0,3,1,0,0
332,30,1,2,1,-457,2,5,8,143,2,0,3,1,0,0
333,58,4,2,2,1387,2,5,8,174,5,0,3,1,0,0
334,45,4,0,2,24598,2,5,8,313,3,0,3,1,0,0
335,49,1,1,1,30,2,5,8,135,4,0,3,1,0,0
336,42,0,2,1,1022,2,5,8,146,2,0,3,1,0,0
337,53,9,1,1,56,2,5,8,152,2,0,3,1,1,0
338,51,0,2,1,-2,2,5,8,402,3,0,3,0,0,0
339,32,7,2,1,121,2,5,8,213,2,0,3,1,0,0
340,41,1,2,1,842,2,5,8,144,3,0,3,1,0,0
341,43,4,0,1,693,2,5,8,124,3,0,3,1,0,0
342,40,1,0,1,-333,2,5,8,183,2,0,3,1,0,0
343,50,1,1,0,1533,2,5,8,325,2,0,3,1,0,0
344,34,4,1,2,46,2,5,8,39,4,0,3,1,0,0
345,53,7,1,3,18,2,5,8,503,2,0,3,0,0,0
346,45,9,1,1,44,2,5,8,95,4,0,3,1,0,0
347,39,1,1,0,-100,2,5,8,680,2,0,3,1,0,0
348,44,7,1,2,510,2,5,8,421,4,0,3,1,0,0
349,55,4,1,2,685,2,5,8,174,3,0,3,1,0,0
350,46,4,2,2,187,2,5,8,113,2,0,3,1,0,0
351,45,1,1,1,66,2,5,8,808,2,0,3,1,0,0
352,34,0,1,1,560,2,5,8,198,3,0,3,1,0,0
353,36,1,1,1,0,2,5,8,195,2,0,3,1,0,0
354,59,11,0,3,27,2,5,8,347,3,0,3,0,0,0
355,31,0,2,1,12,2,5,8,208,2,0,3,1,0,0
356,44,1,2,1,34,2,5,8,404,4,0,3,1,0,0
357,33,2,2,2,1068,2,5,8,396,2,0,3,1,0,0
358,40,1,1,1,211,2,5,8,216,4,0,3,1,0,0
359,46,0,2,2,377,2,5,8,98,2,0,3,1,0,0
360,48,4,1,2,263,2,5,8,350,2,0,3,1,0,0
361,42,7,1,1,1263,2,6,8,114,2,0,3,1,0,0
362,27,7,1,1,8,2,6,8,88,3,0,3,1,0,0
363,48,0,1,1,126,2,6,8,379,2,0,3,1,1,0
364,59,0,1,1,230,2,6,8,190,3,0,3,1,0,0
365,46,9,1,2,841,2,6,8,158,1,0,3,1,0,0
366,38,0,0,1,308,2,6,8,102,1,0,3,1,0,0
367,43,4,0,2,1,2,6,8,306,1,0,3,1,0,0
368,38,0,0,2,86,2,6,8,218,1,0,3,1,0,0
369,23,8,2,1,157,2,6,8,54,1,0,3,1,0,0
370,34,7,1,1,22,2,6,8,344,1,0,3,1,0,0
371,38,0,1,1,46,2,6,8,195,1,0,3,1,1,0
372,37,1,1,1,1293,2,6,8,652,1,0,3,0,0,0
373,25,0,2,1,122,2,6,8,286,1,0,3,1,0,0
374,48,1,1,3,131,2,6,8,189,1,0,3,1,0,0
375,49,1,2,1,143,2,6,8,83,1,0,3,1,0,0
376,38,0,2,1,393,2,6,8,184,2,0,3,0,0,0
377,43,1,1,0,98,2,6,8,235,1,0,3,1,0,0
378,33,4,1,2,0,2,6,8,290,1,0,3,1,0,0
379,55,1,1,1,224,2,6,8,232,1,0,3,1,0,0
380,38,1,1,1,757,2,6,8,133,1,0,3,1,0,0
381,49,7,1,1,245,2,6,8,318,1,0,3,1,1,0
382,40,4,1,1,8486,2,6,8,260,3,0,3,0,0,0
383,43,0,1,3,350,2,6,8,437,1,0,3,0,0,0
384,38,1,1,1,20,2,6,8,402,1,0,3,1,0,0
385,58,7,1,1,1667,2,6,8,85,1,0,3,1,1,0
386,57,9,1,3,345,2,6,8,125,1,0,3,1,0,0
387,32,10,1,1,10,2,6,8,501,4,0,3,1,0,0
388,56,4,1,2,830,2,6,8,1201,1,0,3,1,1,1
389,58,1,0,3,29,2,6,8,253,1,0,3,1,0,0
390,60,5,0,1,545,2,6,8,1030,1,0,3,1,0,1
391,37,9,1,2,8730,2,6,8,149,1,0,3,1,0,0
392,46,9,0,2,477,2,6,8,114,1,0,3,1,0,0
393,27,0,1,1,4,2,6,8,243,1,0,3,1,0,0
394,43,1,1,1,1205,2,6,8,769,2,0,3,1,0,0
395,32,9,2,1,0,2,6,8,135,3,0,3,1,1,0
396,40,0,2,1,263,2,6,8,231,1,0,3,1,0,0
397,38,0,1,1,1,2,6,8,76,1,0,3,0,0,0
398,34,1,1,1,283,2,6,8,199,1,0,3,0,1,0
399,47,1,1,0,206,2,6,8,152,1,0,3,1,0,0
400,42,3,1,0,17,2,6,8,124,1,0,3,1,0,0
401,48,9,1,1,141,2,6,8,424,1,0,3,1,1,0
402,29,6,2,2,16,2,6,8,43,1,0,3,1,0,0
403,50,7,1,1,206,2,6,8,154,1,0,3,1,0,0
404,52,9,1,3,7,2,6,8,203,2,0,3,0,0,0
405,50,4,1,2,0,2,6,8,326,1,0,3,0,0,0
406,58,5,1,2,0,2,6,8,393,1,0,3,0,0,0
407,46,1,0,0,1927,2,6,8,241,3,0,3,1,0,0
408,38,9,1,1,284,2,6,8,483,1,0,3,1,0,0
409,46,1,1,1,1660,2,6,8,259,1,0,3,1,0,0
410,32,7,2,1,406,2,6,8,227,1,0,3,1,0,0
411,51,1,1,0,230,2,6,8,673,1,0,3,1,0,0
412,39,0,2,1,-25,2,6,8,576,1,0,3,1,0,0
413,48,0,1,1,182,2,6,8,180,2,0,3,1,0,0
414,36,2,1,2,1169,2,6,8,168,2,0,3,1,0,0
415,34,0,0,1,67,2,6,8,90,1,0,3,1,0,0
416,40,9,1,1,77,2,6,8,505,1,0,3,0,0,0
417,43,10,1,1,0,2,6,8,245,1,0,3,1,0,0
418,52,1,0,0,55,2,6,8,186,1,0,3,1,1,0
419,33,9,1,1,72,2,6,8,623,1,0,3,1,0,0
420,49,4,2,2,163,2,6,8,496,3,0,3,1,0,0
421,32,4,2,2,151,2,6,8,118,1,0,3,1,0,0
422,39,0,2,1,113,2,6,8,342,1,0,3,1,0,0
423,40,1,1,1,0,2,6,8,225,1,0,3,1,0,0
424,38,9,2,2,9,2,6,8,185,3,0,3,1,0,0
425,43,4,1,1,375,2,6,8,196,2,0,3,1,0,0
426,39,7,1,1,1142,2,6,8,276,1,0,3,1,0,0
427,54,1,1,0,2102,2,6,8,76,1,0,3,1,0,0
428,38,9,2,2,4325,2,6,8,87,1,0,3,1,0,0
429,40,1,1,1,217,2,6,8,195,1,0,3,1,0,0
430,55,0,1,1,131,2,6,8,744,1,0,3,1,0,0
